date(a.orderdate),itemid,sum(b.qty)
2015-02-13,bfish,26
2015-02-13,bosco,18
2015-02-13,ffish,180
2015-02-13,fries,94
2015-02-13,green,71
2015-02-13,mac,105
2015-02-13,onion,46
2015-02-13,pizza,25
2015-02-13,shrimp,30
2015-02-13,slaw,36
2015-02-13,tator,30
2015-02-27,bfish,44
2015-02-27,bosco,15
2015-02-27,ffish,347
2015-02-27,fries,192
2015-02-27,green,91
2015-02-27,mac,161
2015-02-27,onion,115
2015-02-27,pizza,51
2015-02-27,shrimp,48
2015-02-27,slaw,62
2015-02-27,tator,47
2015-03-06,bfish,56
2015-03-06,bosco,14
2015-03-06,ffish,353
2015-03-06,freefish,1
2015-03-06,fries,167
2015-03-06,green,136
2015-03-06,mac,158
2015-03-06,onion,129
2015-03-06,pizza,41
2015-03-06,shrimp,37
2015-03-06,slaw,70
2015-03-06,tator,56
2015-03-13,bfish,37
2015-03-13,ffish,275
2015-03-13,freefish,1
2015-03-13,fries,145
2015-03-13,green,85
2015-03-13,mac,109
2015-03-13,onion,68
2015-03-13,pizza,21
2015-03-13,shrimp,33
2015-03-13,slaw,59
2015-03-13,tator,30
2015-03-20,bfish,30
2015-03-20,bosco,12
2015-03-20,ffish,303
2015-03-20,freefish,2
2015-03-20,fries,106
2015-03-20,green,74
2015-03-20,mac,113
2015-03-20,onion,86
2015-03-20,pizza,21
2015-03-20,shrimp,27
2015-03-20,slaw,58
2015-03-20,tator,29
2015-03-27,bfish,37
2015-03-27,bosco,13
2015-03-27,ffish,307
2015-03-27,fries,117
2015-03-27,green,109
2015-03-27,mac,116
2015-03-27,onion,87
2015-03-27,pizza,16
2015-03-27,shrimp,46
2015-03-27,slaw,56
2015-03-27,tator,54
2016-02-12,bfish,42
2016-02-12,ffish,380
2016-02-12,freefish,8
2016-02-12,fries,185
2016-02-12,green,117
2016-02-12,mac,161
2016-02-12,onion,120
2016-02-12,pizza,49
2016-02-12,shrimp,34
2016-02-12,slaw,69
2016-02-12,tator,43
